2021-09-16 18:25:57,357 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2021-09-16 18:25:57,424 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2021-09-16 18:25:57,427 INFO  Logger.cs: 73 - Commit version 1.6.0-1-g15f4949
2021-09-16 18:25:57,428 INFO  Logger.cs: 74 - Build version 1.6.7594.29634
2021-09-16 18:25:57,435 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2021-09-16 18:25:57,437 INFO  SwAddin.cs: 197 - Setting up callbacks
2021-09-16 18:25:57,439 INFO  SwAddin.cs: 201 - Setting up command manager
2021-09-16 18:25:57,442 INFO  SwAddin.cs: 204 - Adding command manager
2021-09-16 18:25:57,449 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2021-09-16 18:25:57,454 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2021-09-16 18:25:57,455 INFO  SwAddin.cs: 210 - Adding event handlers
2021-09-16 18:25:57,853 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2021-09-16 18:39:47,338 INFO  SwAddin.cs: 294 - Assembly export called for file turtletan_car_assem
2021-09-16 18:39:47,346 INFO  SwAddin.cs: 299 - Save is required
2021-09-16 18:39:47,347 INFO  SwAddin.cs: 313 - Saving assembly
2021-09-16 18:39:48,381 INFO  SwAddin.cs: 316 - Opening property manager
2021-09-16 18:39:48,467 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from turtletan_car_assem
2021-09-16 18:39:48,585 INFO  ExportHelperExtension.cs: 1136 - Found 37 in turtletan_car_assem
2021-09-16 18:39:48,587 INFO  ExportHelperExtension.cs: 1145 - Found 3 features of type [CoordSys] in turtletan_car_assem
2021-09-16 18:39:48,588 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2021-09-16 18:39:48,590 INFO  ExportHelperExtension.cs: 1160 - 3 components to check
2021-09-16 18:39:48,593 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from base_car-6
2021-09-16 18:39:48,595 INFO  ExportHelperExtension.cs: 1136 - Found 42 in base_car-6
